label,paper_id,silo,algorithm_family_trace_only,faithfulness_tier,h4_eligible,anchor_profile,anchor_epsilon,bare_status,full_status,bare_runtime_seconds,full_runtime_seconds,runtime_tau,bare_t_count,full_t_count,t_count_regime,bare_t_depth,full_t_depth,t_depth_tau,full_num_tstates,delta_num_tstates,qdk_magic_delta_positive
SM5,8f553bfb1077,simulation-monte-carlo,other-gate-based,paper-family-template,True,maj_e6_floquet,1e-04,success,success,8.010000000000001e-05,0.00015570000000000002,1.9438202247191012,0,0,zero_logical_t_count,4,8,2.0,640.0,320.0,True
SM6,8f553bfb1077,simulation-monte-carlo,amplitude-estimation,proxy,False,maj_e6_floquet,1e-04,success,success,8.010000000000001e-05,0.0408465,509.94382022471905,0,930,nonzero_logical_t_count,4,1208,302.0,37697.0,37377.0,True
SM7,8f553bfb1077,simulation-monte-carlo,amplitude-estimation,proxy,False,maj_e6_floquet,1e-04,success,success,8.010000000000001e-05,0.0408465,509.94382022471905,0,930,nonzero_logical_t_count,4,1208,302.0,37697.0,37377.0,True
SM8,e922f913e80b,simulation-monte-carlo,amplitude-estimation,proxy,False,maj_e6_floquet,1e-04,success,success,5.4900000000000006e-05,0.013680000000000001,249.18032786885246,0,230,nonzero_logical_t_count,3,425,141.66666666666666,12624.0,12444.0,True
SP1,378c2a73ea46,portfolio-optimization,quantum-svm,proxy,False,maj_e6_floquet,1e-04,success,success,0.00019350000000000001,0.00040050000000000003,2.0697674418604652,0,0,zero_logical_t_count,10,20,2.0,1700.0,900.0,True
SP2,378c2a73ea46,portfolio-optimization,other-gate-based,proxy,False,maj_e6_floquet,1e-04,success,success,8.010000000000001e-05,0.00015570000000000002,1.9438202247191012,0,0,zero_logical_t_count,4,8,2.0,640.0,320.0,True
SP3,de580e8c085e,portfolio-optimization,other-gate-based,proxy,False,maj_e6_floquet,1e-04,success,success,8.460000000000001e-05,0.0001638,1.9361702127659572,0,0,zero_logical_t_count,4,8,2.0,768.0,384.0,True
SQ1,14777484b99d,quantum-ml-finance,other-gate-based,proxy,False,maj_e6_floquet,1e-04,success,success,8.010000000000001e-05,0.00015570000000000002,1.9438202247191012,0,0,zero_logical_t_count,4,8,2.0,640.0,320.0,True
SQ10,53a718c11ea8,quantum-ml-finance,other-gate-based,proxy,False,maj_e6_floquet,1e-04,success,success,8.010000000000001e-05,0.00015570000000000002,1.9438202247191012,0,0,zero_logical_t_count,4,8,2.0,640.0,320.0,True
SQ11,53a718c11ea8,quantum-ml-finance,other-gate-based,proxy,False,maj_e6_floquet,1e-04,success,success,8.010000000000001e-05,0.00015570000000000002,1.9438202247191012,0,0,zero_logical_t_count,4,8,2.0,640.0,320.0,True
SQ12,5413b7728054,quantum-ml-finance,quantum-svm,proxy,False,maj_e6_floquet,1e-04,success,success,8.010000000000001e-05,0.00015570000000000002,1.9438202247191012,0,0,zero_logical_t_count,4,8,2.0,640.0,320.0,True
SQ13,59cca9744140,quantum-ml-finance,other-gate-based,proxy,False,maj_e6_floquet,1e-04,success,success,8.010000000000001e-05,0.00015570000000000002,1.9438202247191012,0,0,zero_logical_t_count,4,8,2.0,640.0,320.0,True
SQ14,75eee58caf3a,quantum-ml-finance,quantum-ml,proxy,False,maj_e6_floquet,1e-04,success,success,9.810000000000001e-05,0.0001953,1.9908256880733943,0,0,zero_logical_t_count,4,8,2.0,1224.0,648.0,True
SQ15,75eee58caf3a,quantum-ml-finance,quantum-ml,proxy,False,maj_e6_floquet,1e-04,success,success,0.0001071,0.00021150000000000002,1.9747899159663866,0,0,zero_logical_t_count,4,8,2.0,1496.0,792.0,True
SQ16,7eefd96d7f06,quantum-ml-finance,other-gate-based,proxy,False,maj_e6_floquet,1e-04,success,success,8.010000000000001e-05,0.00015570000000000002,1.9438202247191012,0,0,zero_logical_t_count,4,8,2.0,640.0,320.0,True
