label,silo,criterion,passed,failure_class
SX3,other,C1_tau_runtime_lt_10,1,trivial_oracle_or_no_non_clifford_depth
SX3,other,C2_full_runtime_lt_baseline,0,trivial_oracle_or_no_non_clifford_depth
SX3,other,C3_full_t_count_gt_0,0,trivial_oracle_or_no_non_clifford_depth
SX3,other,C4_tau_tdepth_ge_10,0,trivial_oracle_or_no_non_clifford_depth
SX3,other,C5_baseline_ge_0_01s,0,trivial_oracle_or_no_non_clifford_depth
SX5,other,C1_tau_runtime_lt_10,1,trivial_oracle_or_no_non_clifford_depth
SX5,other,C2_full_runtime_lt_baseline,0,trivial_oracle_or_no_non_clifford_depth
SX5,other,C3_full_t_count_gt_0,0,trivial_oracle_or_no_non_clifford_depth
SX5,other,C4_tau_tdepth_ge_10,0,trivial_oracle_or_no_non_clifford_depth
SX5,other,C5_baseline_ge_0_01s,0,trivial_oracle_or_no_non_clifford_depth
