regime_id,role,included_in_headline_h1_h4,appendix_only,source_phase
canonical_s2_backed_label_grid,headline_pre_registered_h1_h4,True,False,8
qae_hhl_fixed_precision_high_n,appendix_scaling_and_stress_test,False,True,8d
