label,paper_id,experiment_id,silo,algorithm_family,fidelity,paper_fidelity,faithfulness_tier,paper_exact_claim_eligible,claim_scope,phase8_runnable,h4_evaluated,h4_passes_all,h4_failure_class,h4_failed_criteria,h4_tau_runtime,h4_full_t_count,h4_tau_t_depth,classical_baseline_scale_type,headline_h4_baseline_eligible,proxy_template,circuit_path,proxy_justification_path,circuit_sha256
SQ12,5413b7728054,exp_1,quantum-ml-finance,quantum-svm,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/quantum_ml_finance/5413b7728054__exp_1/circuit.py,p4_experiments/experiments/silos/quantum_ml_finance/5413b7728054__exp_1/proxy_justification_SQ12.md,9d21e18cf36b6fc86df7f6559b1935c82487a21cbfbb84ad47a09816a8c6b44d
SQ13,59cca9744140,exp_1,quantum-ml-finance,other-gate-based,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/quantum_ml_finance/59cca9744140/circuit.py,p4_experiments/experiments/silos/quantum_ml_finance/59cca9744140/proxy_justification_SQ13.md,83b353dbfd20510eab46f40470cb17c43d30b2f8c475e3f101eaa5b80ab5ed6f
SQ14,75eee58caf3a,exp_3,quantum-ml-finance,quantum-ml,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/quantum_ml_finance/75eee58caf3a__exp_3/circuit.py,p4_experiments/experiments/silos/quantum_ml_finance/75eee58caf3a__exp_3/proxy_justification_SQ14.md,727c4bff0062baea600bcf60ea9ebb7e0b5a1c08afb41224039a99e48aa334a3
SQ15,75eee58caf3a,exp_4,quantum-ml-finance,quantum-ml,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/quantum_ml_finance/75eee58caf3a__exp_4/circuit.py,p4_experiments/experiments/silos/quantum_ml_finance/75eee58caf3a__exp_4/proxy_justification_SQ15.md,19d09ccfc3a1ca84204ad41b26978657c5f85dbf8981e85f0b0178d7fd934809
SQ16,7eefd96d7f06,exp_3,quantum-ml-finance,other-gate-based,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/quantum_ml_finance/7eefd96d7f06__exp_3/circuit.py,p4_experiments/experiments/silos/quantum_ml_finance/7eefd96d7f06__exp_3/proxy_justification_SQ16.md,efc4d5805cbae1f3e2ebb59b3d6c7bd22f45734363ec2dd18cb236882feb9258
SQ17,7eefd96d7f06,exp_4,quantum-ml-finance,quantum-ml,F,paper-faithful-template,paper-family-template,False,template/family-faithful only; not paper-exact,True,True,False,trivial_oracle_or_no_non_clifford_depth,C3_full_t_count_gt_0;C4_tau_tdepth_ge_10,2.0697674418604652,0.0,2.0,,,,p4_experiments/experiments/silos/quantum_ml_finance/7eefd96d7f06/circuit.py,,db0d5abeba641ef9a6d8527466b4330543e90c3e29220c72b15da733fd8a5f11
SQ18,86891f250a78,exp_2,quantum-ml-finance,other-gate-based,F,paper-faithful-template,paper-family-template,False,template/family-faithful only; not paper-exact,True,True,False,trivial_oracle_or_no_non_clifford_depth,C3_full_t_count_gt_0;C4_tau_tdepth_ge_10;C5_baseline_ge_0_01s,1.9438202247191012,0.0,2.0,,,,p4_experiments/experiments/silos/quantum_ml_finance/86891f250a78/circuit.py,,1eedce721ad93797b98bd44930a690dbce36889b565eaafed3a0d52dfe2b2eb3
SQ19,b3543c214d69,exp_1,quantum-ml-finance,quantum-svm,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,paper_specific_no_template,p4_experiments/experiments/silos/quantum_ml_finance/b3543c214d69/circuit.py,p4_experiments/experiments/silos/quantum_ml_finance/b3543c214d69/proxy_justification_SQ19.md,c801f3f5db0477cdc62563b79aec62df1285a37f115318d236035b086b5704d0
SQ2,26d9ab80fc82,exp_1,quantum-ml-finance,quantum-ml,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/quantum_ml_finance/26d9ab80fc82/circuit.py,p4_experiments/experiments/silos/quantum_ml_finance/26d9ab80fc82/proxy_justification_SQ2.md,60c941d1b3cda9694fa176bb8e2f5557b1b0beedc0ed3565520467ce43bb6fef
SQ20,b3543c214d69,exp_2,quantum-ml-finance,quantum-svm,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,amplitude_encoding,p4_experiments/experiments/silos/quantum_ml_finance/b3543c214d69__exp_2/circuit.py,p4_experiments/experiments/silos/quantum_ml_finance/b3543c214d69__exp_2/proxy_justification_SQ20.md,8f4db938e8258a5848140dad0c2b618d2e80fac218058be2bea5f0569c2e23fc
SQ21,c48c60134357,exp_1,quantum-ml-finance,other-gate-based,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/quantum_ml_finance/c48c60134357__exp_1/circuit.py,p4_experiments/experiments/silos/quantum_ml_finance/c48c60134357__exp_1/proxy_justification_SQ21.md,2568837655cdcf2f61ea4b73615f4206b411ac2019a6ae7c266f3ede8baaa842
SQ22,c48c60134357,exp_2,quantum-ml-finance,other-gate-based,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/quantum_ml_finance/c48c60134357__exp_2/circuit.py,p4_experiments/experiments/silos/quantum_ml_finance/c48c60134357__exp_2/proxy_justification_SQ22.md,a115b7b817d2a9e0325c6da0cf414e687b903236c2e9a09815ef36d6ba4e2403
SQ23,c48c60134357,exp_3,quantum-ml-finance,other-gate-based,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/quantum_ml_finance/c48c60134357__exp_3/circuit.py,p4_experiments/experiments/silos/quantum_ml_finance/c48c60134357__exp_3/proxy_justification_SQ23.md,5af2e89d9f42d83576eb76108f94f6964b37e796c2609bd23c4701ef34854a2e
SQ24,c57f6422ed7b,exp_1,quantum-ml-finance,quantum-ml,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,paper_specific_no_template,p4_experiments/experiments/silos/quantum_ml_finance/c57f6422ed7b/circuit.py,p4_experiments/experiments/silos/quantum_ml_finance/c57f6422ed7b/proxy_justification_SQ24.md,764f553d0b34ebe602a1a986bc0b3bcb3df948a464aef500c89f3ad8c08f3862
SQ25,c99a158445ec,exp_1,quantum-ml-finance,other-gate-based,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/quantum_ml_finance/c99a158445ec/circuit.py,p4_experiments/experiments/silos/quantum_ml_finance/c99a158445ec/proxy_justification_SQ25.md,c6e7dc25aafe7e5ab6d5da02bb2c9caeaf77e8bb93307470b2b8a53ec4d92e8b
SQ26,f94276561f48,exp_1,quantum-ml-finance,quantum-ml,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/quantum_ml_finance/f94276561f48__exp_1/circuit.py,p4_experiments/experiments/silos/quantum_ml_finance/f94276561f48__exp_1/proxy_justification_SQ26.md,c78efd1380c5d9a21e432fb97ecf7fb333e734092cb18ad6de8546cffec04a18
SQ27,f94276561f48,exp_2,quantum-ml-finance,quantum-ml,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/quantum_ml_finance/f94276561f48__exp_2/circuit.py,p4_experiments/experiments/silos/quantum_ml_finance/f94276561f48__exp_2/proxy_justification_SQ27.md,02a680f922be3c0a6c333a962add2fac6abbb65a63c07f6e57a1a84c5d91038d
SQ28,f94276561f48,exp_3,quantum-ml-finance,quantum-ml,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/quantum_ml_finance/f94276561f48__exp_3/circuit.py,p4_experiments/experiments/silos/quantum_ml_finance/f94276561f48__exp_3/proxy_justification_SQ28.md,ae2caa5121a121171a46b4f41dedbae8f1e92d8fbfe5e19f207b9675ab974487
SQ29,f94276561f48,exp_4,quantum-ml-finance,quantum-ml,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/quantum_ml_finance/f94276561f48__exp_4/circuit.py,p4_experiments/experiments/silos/quantum_ml_finance/f94276561f48__exp_4/proxy_justification_SQ29.md,9764f735a6b9b77082ccbd728457183829e95ff62dc961cea13d844e076a1aa7
SQ3,2a0770a1a995,exp_1,quantum-ml-finance,quantum-ml,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/quantum_ml_finance/2a0770a1a995/circuit.py,p4_experiments/experiments/silos/quantum_ml_finance/2a0770a1a995/proxy_justification_SQ3.md,e5ee1a94a7ed0166523080c9142dff663c337f16960def16be5dbbef6a4e1ef3
SQ30,f94276561f48,exp_5,quantum-ml-finance,quantum-ml,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/quantum_ml_finance/f94276561f48__exp_5/circuit.py,p4_experiments/experiments/silos/quantum_ml_finance/f94276561f48__exp_5/proxy_justification_SQ30.md,e72d974f9a338a8debe74c0713a69ab858fbad0b41eed6059ca96b1f409130e5
