family,entity_id,n_value,m_precision_qubits,hardware_profile,epsilon,status,runtime_seconds,physical_qubits,t_depth,t_count,reason,wall_clock_total_seconds,source_file,exploratory_tail
hhl,hhl_s2_fixed_m,20,8,maj_e6_floquet,0.0001,ok,3.9087135,52140,107678,44,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s2_fixed_m,20,8,maj_e6_surface,0.0001,ok,36.481326,36750,107678,44,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s2_fixed_m,50,4,maj_e6_floquet,0.0001,ok,0.47057550000000004,67584,13238,20,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s2_fixed_m,50,4,maj_e6_surface,0.0001,ok,4.392038,46256,13238,20,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s2_fixed_m,50,6,maj_e6_floquet,0.0001,ok,2.2225785,65604,60558,32,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s2_fixed_m,50,6,maj_e6_surface,0.0001,ok,20.744066,44786,60558,32,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s2_fixed_m,50,8,maj_e6_floquet,0.0001,ok,14.0725347,66084,265088,44,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s2_fixed_m,50,8,maj_e6_surface,0.0001,ok,93.81689800000001,43218,265088,44,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s2_fixed_m,100,4,maj_e6_floquet,0.0001,ok,0.9252600000000001,84480,25951,20,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s2_fixed_m,100,4,maj_e6_surface,0.0001,ok,8.635760000000001,58800,25951,20,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s2_fixed_m,100,6,maj_e6_floquet,0.0001,ok,5.940645900000001,94100,114913,32,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s2_fixed_m,100,6,maj_e6_surface,0.0001,ok,39.604306,57330,114913,32,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s2_fixed_m,100,8,maj_e6_floquet,0.0001,ok,27.426674100000003,343636,514956,44,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s2_fixed_m,100,8,maj_e6_surface,0.0001,ok,235.085778,126738,514956,44,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s2_fixed_m,250,4,maj_e6_floquet,0.0001,ok,3.3412449000000004,172868,64125,20,,,canonical_figure_phase8d_scaling.csv,false
