series_kind,entity_id,m_precision_qubits,scenario_id,classical_algorithm_family,classical_target_kappa,n_value,projected_seconds,projected_repetitions,source_max_success_n,fit_exponent,fit_r2,projection_status
hhl_projection,hhl_s1_fixed_m,4,state_preparation_only,,,20.000000000000004,0.08327949614202725,1.0,10000,1.0965541176759857,0.9981055945156931,inside_observed_success_range
hhl_projection,hhl_s1_fixed_m,4,single_scalar_observable_sampling,,,20.000000000000004,832.7949614202724,10000.0,10000,1.0965541176759857,0.9981055945156931,inside_observed_success_range
hhl_projection,hhl_s1_fixed_m,4,full_vector_readout_lower_bound,,,20.000000000000004,1.6655899228405453,20.000000000000004,10000,1.0965541176759857,0.9981055945156931,inside_observed_success_range
hhl_projection,hhl_s1_fixed_m,4,full_vector_tomography_proxy,,,20.000000000000004,16655.89922840545,200000.00000000003,10000,1.0965541176759857,0.9981055945156931,inside_observed_success_range
hhl_projection,hhl_s1_fixed_m,4,state_preparation_only,,,21.887092786386024,0.09193418841051183,1.0,10000,1.0965541176759857,0.9981055945156931,inside_observed_success_range
hhl_projection,hhl_s1_fixed_m,4,single_scalar_observable_sampling,,,21.887092786386024,919.3418841051183,10000.0,10000,1.0965541176759857,0.9981055945156931,inside_observed_success_range
hhl_projection,hhl_s1_fixed_m,4,full_vector_readout_lower_bound,,,21.887092786386024,2.0121721119819673,21.887092786386024,10000,1.0965541176759857,0.9981055945156931,inside_observed_success_range
hhl_projection,hhl_s1_fixed_m,4,full_vector_tomography_proxy,,,21.887092786386024,20121.72111981967,218870.92786386024,10000,1.0965541176759857,0.9981055945156931,inside_observed_success_range
hhl_projection,hhl_s1_fixed_m,4,state_preparation_only,,,23.952241531993543,0.10148830612862245,1.0,10000,1.0965541176759857,0.9981055945156931,inside_observed_success_range
hhl_projection,hhl_s1_fixed_m,4,single_scalar_observable_sampling,,,23.952241531993543,1014.8830612862245,10000.0,10000,1.0965541176759857,0.9981055945156931,inside_observed_success_range
hhl_projection,hhl_s1_fixed_m,4,full_vector_readout_lower_bound,,,23.952241531993543,2.4308724210656654,23.952241531993543,10000,1.0965541176759857,0.9981055945156931,inside_observed_success_range
hhl_projection,hhl_s1_fixed_m,4,full_vector_tomography_proxy,,,23.952241531993543,24308.724210656652,239522.41531993542,10000,1.0965541176759857,0.9981055945156931,inside_observed_success_range
hhl_projection,hhl_s1_fixed_m,4,state_preparation_only,,,26.212246642633577,0.11203532068902544,1.0,10000,1.0965541176759857,0.9981055945156931,inside_observed_success_range
hhl_projection,hhl_s1_fixed_m,4,single_scalar_observable_sampling,,,26.212246642633577,1120.3532068902543,10000.0,10000,1.0965541176759857,0.9981055945156931,inside_observed_success_range
hhl_projection,hhl_s1_fixed_m,4,full_vector_readout_lower_bound,,,26.212246642633577,2.9366974585872834,26.212246642633577,10000,1.0965541176759857,0.9981055945156931,inside_observed_success_range
hhl_projection,hhl_s1_fixed_m,4,full_vector_tomography_proxy,,,26.212246642633577,29366.97458587283,262122.46642633577,10000,1.0965541176759857,0.9981055945156931,inside_observed_success_range
hhl_projection,hhl_s1_fixed_m,4,state_preparation_only,,,28.685493720347814,0.1236784173536698,1.0,10000,1.0965541176759857,0.9981055945156931,inside_observed_success_range
hhl_projection,hhl_s1_fixed_m,4,single_scalar_observable_sampling,,,28.685493720347814,1236.784173536698,10000.0,10000,1.0965541176759857,0.9981055945156931,inside_observed_success_range
hhl_projection,hhl_s1_fixed_m,4,full_vector_readout_lower_bound,,,28.685493720347814,3.547776464341251,28.685493720347814,10000,1.0965541176759857,0.9981055945156931,inside_observed_success_range
hhl_projection,hhl_s1_fixed_m,4,full_vector_tomography_proxy,,,28.685493720347814,35477.76464341251,286854.9372034781,10000,1.0965541176759857,0.9981055945156931,inside_observed_success_range
hhl_projection,hhl_s1_fixed_m,4,state_preparation_only,,,31.39210313402731,0.13653150475256254,1.0,10000,1.0965541176759857,0.9981055945156931,inside_observed_success_range
